№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
362|4417|5300352800|м. Мусіївка, вул. Лісова, 10|Мусіївка|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|СТОВ Мусіївське|1
363|4419|13-51991102|м. Харків, вул. 23 Серпня, 33А|Харків|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|с/м Класс|1
364|4420|13-45181323|м. Київ, вул. Преображенська, 5/2|Київ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Інститут Будівельних конструкцій|1
365|4421|5300652609|с. Нові Петрівці, вул. Соборна, 85|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Перший столичний хлібозавод|1
366|4422|5300352617|м. Київ, пр. Маяковського, 85|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Billa|1
367|4423|5300651873|м. Харків, вул. Клочковська, 173|Харків|FLM-7;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Харківська|06.06.2012|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Восторг|1
368|4424|5300356376|м. Тернопіль, вул. Шпитальна, 2|Тернопіль|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Тернопільська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Міська лікарня швидкої допомоги|1
369|4425|13-45179886|м. Житомир, пл. Корольова, 4/2|Житомир|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Житомирська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Міськвиконком|1
370|4426|5300353806|м. Кам'янське, 3-й Травневий провулок, 10|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Територія заводу Спецтехоснастка|1
371|4428|5300337556|м. Харків, вул. Чкалова, 17 (1-й АТМ)|Харків|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Expert Solutions|Харківська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Авіаційний університет головний корпус|1
372|4429|5300356797|м. Кам'янка, вул. Леніна, 40|Кам'янка|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Черкаська||0|0|1|0|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Кам'янський машинобудівний завод|1
373|4431|5300507246|м. Краматорськ, бул. Машинобудівників, 39|Краматорськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Донецька державна машинобудівельна академія|1
374|4432|5300265175|м. Запоріжжя, бул. Центральний, 4|Запоріжжя|Link:FLM-7;SLM-5 ACCESS Відсутній доступ||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Запорізька||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Торгівельнопромислова палата|1
375|4433|5300265157|м. Біла Церква, вул. Грибоєдова, 10А|Біла Церква|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ СР|Реноме-Смарт 6|Реноме-Смарт 10|с/м Велика Кишеня|0
376|4434|13-49011424|м. Київ, вул. Дегтярівська, 21Г|Київ|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Бізнес-центр|1
377|4435|5300272167|м. Дніпро, вул. Ростовська, 141|Дніпро|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Дніпропетровський хлібокомбінат №5, адм.корпус|1
378|4437|5300261173|м. Харків, пр. Науки, 27Б (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Капіталіст, 9 пов.|1
379|4438|13-45179800|м. Першотравенськ, вул. Шахтарської Слави, 9 (2-й АТМ)|Першотравенськ|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Дніпропетровська||0|0|0|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Відділення Першотравневське|1
380|4439|5300291021|м. Трускавець, вул. Суховоля, 25|Трускавець|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Львівська||0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Готель Свитязь|1
381|4440|13-45179971|м. Чудей, вул. Карпатська, 1|Чудей|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Чернівецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Магазин|1
382|4441|13-46071665|с. Капітанівка, вул. Дачна, 5А|Капітанівка|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Віннер Імпортс|1
383|4443|5300291065|м. Одеса, вул. Люстдорфська дорога, 140/1|Одеса|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Одеська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Таврія В|1
384|4444|5300263241|м. Київ, вул. Солом'янська, 23А (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Залізничне|1
385|4445|5300210565|м. Суми, вул. Привокзальна, 9|Суми|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ВАТ Суми-Проект|1
386|4446|5300358732|м. Кропивницький, вул. Космонавта Попова, 8|Кропивницький|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Кіровоградська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
387|4447|5300272141|м. Слов'янськ, вул.Світлодарська 28Б|Слов'янськ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Донецька||0|0|1|0|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Донецькоблгаз|1
388|4448|5300499874|м. Запоріжжя, вул. Діагональна, 2|Запоріжжя|Link:FLM-7;SLM-5 ACCESS Відсутній доступ||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Склозавод|1
389|4449|5300261312|м. Івано-Франківськ, вул. Івасюка, 17|Івано-Франківськ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Івано-Франківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
