№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
1|2295|13-41376404|м. Київ, вул. Мечникова, 2 (27 пов.)|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Парус (ІстВан)|1
2|2832|13-41376421|м. Дніпро, вул. Варварівська, 28|Дніпро|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 097 667 10 00 менеджер ЗП Ольга|Дніпропетровська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Хлібозавод № 10|0
3|2833|13-41376418|м. Київ, вул. Велика Житомирська, 2А (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Готель Інтерконтиненталь (1-й пов)|1
4|2836|13-41376425|м. Черкаси, вул. Шевченка, 183|Черкаси|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 063 428 09 50 зав. каси Світлана Анатоліївна,  091 114 31 16  Бойко Сергей Александрович|Черкаська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Укртелеком|1
5|2844|13-41375369|м. Курахово, вул. Промзона, 69/15|Курахово|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|Пумб|PRINTEC 8|PRINTEC 12|ТОВ Свято-Іллінський машинобудівний завод|1
6|2850|13-41378295|м. Черкаси, вул. Смілянска, 46|Черкаси|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 248 55 36 - менеджер ЗП Ковальова Юлія|Черкаська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ТОВ КЦУ|0
7|2851|13-41376431|м. Українськ, вул. Жовтнева, 1 (1-й АТМ)|Українськ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Шахта Україна|0
8|3338|5300564388|м. Київ, вул. Електротехнічна, 16|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект 067 248 55 36 менеджер ЗП Ковальова Юлія|Київська|13.10.2016|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|КиївВодоканал|0
9|3339|5300564360|м. Київ, вул. Тараса Шевченка, 18|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська|14.11.2016|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Укртелеком|0
10|3459|5300493030|м. Одеса, вул. Черняховського, 4 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|093 950 75 88 зав. каси Валентина|Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №6|1
11|3460|5300493548|м. Київ, вул. Кільцева дорога, 1Б|Київ|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект 067 230 15 70 директор відділення Лариса Воложимирівна, 067 620 20 96|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|0
12|3476|5300493533|м. Вугледар, вул. Трифонова, 8А (2-й АТМ)|Вугледар|FLM-5;SLM-5 ACCESS.. Відсутні ключі від СЧ.||ALFA|ProCash 2100|WINCOR||Донецька|||0|0|1|Пумб|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Вугледарське|1
13|3477|5300493539|м. Дніпро, вул. Ливарна, 15|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №10|1
14|3478|5300493600|м. Дніпро, пр. Дмитра Яворницького, 66 (1-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 777 67 62  Надія|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №8|0
15|3479|5300493044|м. Маріуполь, пр. Миру, 87А (2-й АТМ)|Маріуполь|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|096 232 36 45 зав.  каси Ірина|Донецька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Маріупольське|1
16|3485|5300492931|м. Харків, пр. Гагаріна, 244 (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 786 66 67 Олена, 067 248 59 53 Астапова Оксана Олегівна, 066 711 17 90 Світлана|Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №27|0
17|3486|5300492883|м. Кропивницький, вул. Дворцова, 46А (2-й АТМ)|Кропивницький|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|096 285 48 37 зав. каси Лілія Михайлівна|Кіровоградська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Кропивницьке|1
18|3487|5300492998|м. Слов'янськ, вул. Свободи, 31 (1-й АТМ)|Слов'янськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Слов'янське №1|1
19|3488|5300492954|м. Харків, вул. Академіка Павлова, 165В (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 248 63 37 директор відділеня Ольга Сергіївна, 099 700 85 45 зав. кси Валентина|Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №2|1
20|3490|5300493474|м. Одеса, вул. Прохорівська, 40 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №7|0
21|3492|5300493288|м. Красилів, вул. Центральна, 43 (1-й АТМ)|Красилів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Хмельницька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Красилівське|0
22|3493|5300492710|м. Чернігів, пр. Перемоги, 62 (2-й АТМ)|Чернігів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|066 20 68 494 зав. Каси Катерина, 093 354 84 08|Чернігівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернігівське|0
23|3498|5300513726|м. Київ, вул. Кирилівська, 127 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 248 59 02 директор відділення Пустовойт Ольга Олександрівна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Кирилівське|1
24|3754|13-41841789|м. Львів, вул. Городоцька, 226Б|Львів|FLM-5;SLM-5 Можемо зайти на диск С, але не можу скинути або скачати файл. Екран опитується.||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 340 88 48 менеджер ЗП, 067 617 60 04|Львівська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ПАТ Київстар|1
25|3770|5300551996|м. Черкаси, вул. Громова, 142|Черкаси|FLM-5;SLM-5 ПН-ЧТ працюють до 17:00, ПТ до 16:00||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Черкаська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ВАТ Черкасигаз|0
26|3876|5300379961|м. Вінниця, вул. Привокзальна, 2/1 (2-й АТМ)|Вінниця|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|097 340 29 44 Оксана|Вінницька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Вінницьке|1
27|3878|5300380049|м. Житомир, вул. Перемоги, 7А (2-й АТМ)|Житомир|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Житомирська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Житомирське|1
28|4001|13-45179919|м. Київ, вул. Ділова, 3 (2-й АТМ)|Київ|FLM-5;SLM-5 Можемо зайти на диск С, але не можу скинути або скачати файл. Екран опитується.||ALFA|SelfServ 6626|NCR||Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Головний офіс Альфи|1
29|4002|5300232589|м. Київ, вул. Саксаганського, 14 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське № 44|1
30|4005|5300184389|м. Фастів, вул. Соборна, 10 (2-й АТМ)|Фастів|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Київська||0|0|0|1|УСБ СР|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Фастівське|1
31|4006|5101221528|м. Дніпро, вул. Мечнікова, 11 (3-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №9|1
32|4008|5300290697|м. Київ, пр. Голосіївський, 23 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №51|1
33|4009|5300514586|м. Харків, пл. Феєрбаха, 8|Харків|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Український Державний університет залізничного транспорту|1
34|4010|5300232556|м. Київ, вул. Петра Сагайдачного, 22/1 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №37|1
35|4011|5300264927|м. Вінниця, вул. Хмельницьке шосе, 25А (2-й АТМ)|Вінниця|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR||Вінницька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Вінницьке №1|1
36|4012|5300231985|м. Рівне, вул. Кавказька, 3 (1-й АТМ)|Рівне|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Рівненська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 6|Відділення Рівненське №1 А-Клуб|1
37|4013|5300255411|м. Тернопіль, вул. Степана Качали, 5 (2-й АТМ)|Тернопіль|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Тернопільська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Тернопільське №1|1
38|4014|5300231922|м. Чернівці, вул. Міцкевича, 2 (1-й АТМ)|Чернівці|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Чернівецька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернівецьке №2|1
39|4015|5300290641|м. Луцьк, майдан Київський, 3 (2-й АТМ)|Луцьк|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR||Волинська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Луцьке №3|1
40|4016|5300305486|м. Івано-Франківськ, вул. Незалежності, 44 (1-й АТМ)|Івано-Франківськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Івано-Франківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Івано-Франківське №4|1
41|4017|5300186262|м. Київ, Столичне шосе, 103|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Европа, Нова Пошта|1
42|4018|5300207417|м. Черкаси, вул. Дашковича, 20 (2-й АТМ)|Черкаси|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR||Черкаська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Черкаське №1|1
43|4020|5300262362|м. Кривий Ріг, вул. Мистецька, 1А (2-й АТМ)|Кривий Ріг|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR||Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Криворізьке|1
44|4022|5300263435|м. Одеса, вул. Середня, 83А|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №15|1
45|4024|5300514664|м. Дніпро, бул. Зоряний, 1А|Дніпро|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТРЦ Дафі|1
46|4025|13-52671494|м. Київ, вул. Хрещатик, 22|Київ|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Главпоштамп|1
47|4026|13-45179948|м. Бердянськ, вул. Шевченкa, 4 (3-й АТМ)|Бердянськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Запорізька||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Бердянське|1
48|4027|5300347935|м. Бердянськ, вул. Шевченкa, 4 (2-й АТМ)|Бердянськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Запорізька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бердянське|1
49|4028|5300272459|м. Бориспіль, вул. Київський шлях, 47|Бориспіль|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бориспільське|1
50|4034|5300200033|м. Кременчук, вул. Перемоги, 9/1 (1-й АТМ)|Кременчук|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR||Полтавська||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Кременчуцьке №1|1
51|4035|13-45179949|м. Кременчук, вул. Перемоги, 9/1 (2-й АТМ)|Кременчук|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Полтавська||0|0|0|1|Альфа ВТ,ПТ|PRINTEC 8|PRINTEC 12|Відділення Кременчуцьке №1|1
52|4037|5300302667|м. Олександрія, пр. Соборний, 88 (2-й АТМ)|Олександрія|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Кіровоградська||0|0|0|1|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Олександрійське|1
53|4038|5300343622|м. Олександрія, пр. Соборний, 88 (1-й АТМ)|Олександрія|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Кіровоградська||0|0|0|1|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Олександрійське|1
54|4040|5300303424|м. Хуст, вул. Добрянського, 1/53 (2-й АТМ)|Хуст|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Закарпатська||0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Хустське|1
55|4041|5300263506|м. Червоноград, вул. Шептицького, 1 (2-й АТМ)|Червоноград|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Львівська||0|0|0|1|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Червоноградське|1
56|4043|5300348234|м. Черкаси, вул. Дашковича, 20 (1-й АТМ)|Черкаси|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Черкаська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Черкаське №1|1
57|4044|5300337852|м. Чернівці, вул. Міцкевича, 2 (2-й АТМ)|Чернівці|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Чернівецька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернівецьке №2|1
58|4045|5300298251|м. Київ, вул. Саксаганського, 36Д|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Dragon Capital|1
59|4046|5300186261|м. Київ, вул. Рилєєва, 10А|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТОВ Куб-Газ|1
60|4047|5300347777|м. Херсон, вул. Торгова, 40 (1-й АТМ)|Херсон|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Херсонська|06.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Херсонське №3|1
61|4048|13-45179932|м. Івано-Франківськ, вул. Незалежності, 44 (2-й АТМ)|Івано-Франківськ|FLM-6;SLM-5|ACCESS.. 25.04.2019 Відсутиній доступ до АТМ, не знімають із сигналізації.|ALFA|SelfServ 6626|NCR||Івано-Франківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Івано-Франківське №4|1
62|4049|13-45179809|м. Хмельницький, вул. Соборна, 34 (2-й АТМ)|Хмельницький|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Хмельницька||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Хмельницьке №3|1
63|4050|5300232465|м. Полтава, вул. Соборності, 43|Полтава|Link:FLM-7;SLM-5 ACCESS Відсутній засіб для зняття сигналізації||ALFA|ProCash 2100|WINCOR||Полтавська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Полтавське №3|1
64|4051|5300231937|м. Львів, Чайковського, 33|Львів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Львівська|15.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Львівське А-Клуб|1
65|4052|13-45181306|м. Енергодар, пр. Будівельників, 36 (2-й АТМ)|Енергодар|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Запорізька||0|0|0|1|Альфа ВТ-ПТ|PRINTEC 8|PRINTEC 12|Відділення Енергодарське|1
66|4053|13-45167182|м. Херсон, вул. Торгова, 40 (2-й АТМ)|Херсон|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Запорізька||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Херсонське №3|1
67|4054|5300654397|м. Калуш, вул. Винниченка, 8 (1-й АТМ)|Калуш|FLM-5;SLM-5||ALFA|ProCash 8050|WINCOR||Івано-Франківська|15.11.2012|0|0|0|1|УСБ Чернівці|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Калуське|1
68|4056|5300257017|м. Мукачеве, вул. Пушкіна, 16 (2-й АТМ)|Мукачеве|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Закарпатська|08.07.2011|0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Мукачівське|1
69|4057|5300263482|м. Одеса, вул. Філатова, 21|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Одеська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Черьомушки|1
70|4058|5300255263|м. Хмельницький, вул. Шевченкa, 11|Хмельницький|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Хмельницька|08.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Шевченківське|1
71|4059|5300347576|м. Львів, пр. Чорновола, 45|Львів|FLM-5;SLM-5 АТМ підмерзає.||ALFA|ProCash 2100|WINCOR||Львівська|04.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення на Чорновола|1
72|4060|13-45181319|м. Херсон, вул. Торгова, 40 (3-й АТМ)|Херсон|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Херсонська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Херсонське №3|1
73|4063|13-48383099|м. Городок, вул. Грушевського, 80|Городок|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Хмельницька||0|0|0|1|Альфа ВТ,ПТ|PRINTEC 8|PRINTEC 12|Відділення Городоцьке|1
74|4064|13-45181326|м. Коломия, вул. Січових Стрільців, 41/1 (2-й АТМ)|Коломия|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Івано-Франківська||0|0|0|1|УСБ Чернівці|PRINTEC 8|PRINTEC 12|Відділення Коломийське|1
75|4067|13-45179962|м. Нікополь, пр. Трубників, 11А (2-й АТМ)|Нікополь|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Дніпропетровська||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Нікопольське|1
76|4068|5300210689|с. Тавричанка , вул. 40-років Перемоги,16|Тавричанка|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Херсонська|13.06.2014|0|0|1|0|Укргаз|Реноме-Смарт 6|Реноме-Смарт 10|Дослідне господарство Асканійське|1
77|4069|5300652579|м. Київ, вул. Бориспільська, 2 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська|30.05.2012|0|0|0|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дарницьке|1
78|4074|5300356331|м. Дніпро, вул. Мечнікова, 11 (2-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Дніпропетровська|04.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №9|1
79|4075|5300267577|м. Львів, вул. Політехнічна, 2|Львів|Link:FLM-7;SLM-5 ACCESS Відсутній засіб для зняття сигналізації||ALFA|ProCash 2100|WINCOR||Львівська|04.07.2011|0|0|0|1|УСБ|Реноме-смарт 3|Реноме-смарт 6|Відділення Старе місто|1
80|4076|13-45179801|с. Дунаївці, вул. Шевченка, 51|Дунаївці|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Хмельницька||0|0|0|1|Альфа ВТ, ПТ|PRINTEC 8|PRINTEC 12|Відділення Дунаєвецьке|1
81|4077|5300347836|м. Краматорськ, вул. Ярослава Мудрого, 48Г (1-й АТМ)|Краматорськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька|15.07.2011|0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Краматорське №1|1
82|4079|13-45167145|м. Київ, вул. Вербицького, 18 (3-й АТМ)|Київ|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR||Київська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Київське №45|1
83|4080|13-52671493|м. Стрий, пр. Шевченка, 71А (2-й АТМ)|Стрий|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Львівська||0|0|0|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Відділення Стрийське|1
84|4081|5300237131|м. Харків, пров. Вірменський, 2 (1-й АТМ)|Харків|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Тарасівське|1
85|4082|5300302696|м. Бахмут, вул. Незалежності, 37 (2-й АТМ)|Бахмут|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Донецька||0|0|0|1|Альфа ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бахмутське|1
86|4083|5300231948|м. Новоград-Волинський, вул. Шевченка, 35/1 (1-й АТМ)|Новоград-Волинський|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Житомирська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Новоград-Волинське|1
87|4084|5300293139|м. Калуш, вул. Винниченка, 8 (2-й АТМ)|Калуш|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR||Івано-Франківська||0|0|0|1|УСБ Чернівці|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Калуське|1
88|4085|13-45179799|м. Одеса, вул. Пушкінська, 77 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|050 165 06 39 контролер Марина|Одеська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Одеське №10|1
89|4088|13-45179888|м. Житомир, вул. Київська, 64 (2-й АТМ)|Житомир|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR||Житомирська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Корольовське|1
90|4089|5300647722|м. Харків, майдан Свободи, 5 (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №26|1
91|4091|5300255363|м. Маріуполь, вул. Грецька, 43 (1-й АТМ)|Маріуполь|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Маріупольське №2|1
92|4092|13-45179963|м. Трускавець, вул. Стебницька, 23|Трускавець|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Львівська||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Квітковий Магазин  Ліатріс|1
93|4093|5300207387|м. Рівне, вул. Віденська, 2|Рівне|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Рівненська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Магазин Люстри Люкс|1
94|4094|13-48383561|м. Канів, вул. Героїв Дніпра, 1А|Канів|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Черкаська||0|0|0|1|УСБ ВТ,ПТ|PRINTEC 8|PRINTEC 12|Відділення Канівське|1
95|4095|5300210672|м. Краматорськ, завод Енергомашспецсталь (2-й АТМ)|Краматорськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька|22.02.2019|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Завод Енергомашспецсталь|1
96|4096|5300199572|м. Хмельницький, вул. Зарічанська, 24 (1-й АТМ)|Хмельницький|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Хмельницька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Зарічанське|1
97|4097|5300347585|м. Львів, вул. Личаківська, 128|Львів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Львівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Личаківське|1
98|4098|5300257171|м. Краматорськ, вул. Ярослава Мудрого, 48Г (2-й АТМ)|Краматорськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Краматорське №1|1
99|4099|13-45179965|м. Харків, пр. Гагаріна, 244 (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Харківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Харківське №27|1
